airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-04-03,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No info,4823
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,In-flight meal not included,9663
Air India,2019-06-21,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No info,5510
Multiple Carriers,2019-05-15,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No info,8266
Multiple Carriers,2019-05-09,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No info,14323
Indigo,2019-05-18,Delhi,Cochin,06:50:00,22:30:00,940,1.0,No info,7144
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,22:35:00,965,1.0,In-flight meal not included,7064
Jet Airways,2019-06-03,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,In-flight meal not included,10919
Spicejet,2019-03-06,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No info,7298
Jet Airways,2019-05-09,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,12373
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,19:10:00,1570,1.0,In-flight meal not included,9314
Jet Airways,2019-06-09,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202
Multiple Carriers,2019-04-09,Delhi,Cochin,06:00:00,13:20:00,440,1.0,No info,8323
Spicejet,2019-05-06,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3573
Air Asia,2019-03-01,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No info,5620
Indigo,2019-05-09,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No info,6704
Jet Airways,2019-03-27,Delhi,Cochin,15:05:00,04:25:00,800,1.0,In-flight meal not included,6017
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,15:15:00,570,1.0,No info,26890
Jet Airways,2019-03-18,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2071
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,In-flight meal not included,8586
Jet Airways,2019-05-18,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,12373
Multiple Carriers,2019-05-18,Delhi,Cochin,07:05:00,19:15:00,730,1.0,No info,14533
Indigo,2019-03-06,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No info,3175
Jet Airways,2019-05-15,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4030
Multiple Carriers,2019-06-01,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No info,9526
Indigo,2019-05-18,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No info,3717
Goair,2019-04-18,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No info,5048
Jet Airways,2019-06-09,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,10262
Air Asia,2019-06-06,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No info,4282
Multiple Carriers,2019-06-03,Delhi,Cochin,07:05:00,22:30:00,925,1.0,No info,10696
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,In-flight meal not included,12384
Jet Airways,2019-03-15,Banglore,New Delhi,11:40:00,18:25:00,405,1.0,In-flight meal not included,9134
Spicejet,2019-03-21,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No check-in baggage included,3815
Multiple Carriers,2019-05-27,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No info,13377
Jet Airways,2019-03-18,Banglore,New Delhi,21:25:00,09:00:00,695,1.0,No info,13555
Air India,2019-06-18,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No info,6961
Air India,2019-05-09,Delhi,Cochin,14:25:00,19:15:00,1730,2.0,No info,13591
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No info,12681
Indigo,2019-06-21,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No info,3597
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,In-flight meal not included,10844
Jet Airways,2019-03-21,Delhi,Cochin,05:30:00,18:50:00,800,2.0,No info,11702
Indigo,2019-03-15,Banglore,New Delhi,16:55:00,19:45:00,170,0.0,No info,8033
Indigo,2019-03-09,Banglore,New Delhi,01:30:00,04:15:00,165,0.0,No info,4545
Indigo,2019-06-15,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No info,6195
Jet Airways,2019-03-27,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No info,5678
Vistara,2019-03-27,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No info,3739
Air India,2019-03-03,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,11185
Jet Airways,2019-03-06,Delhi,Cochin,22:20:00,04:25:00,365,1.0,No info,15764
Jet Airways,2019-05-24,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,4030
Jet Airways,2019-03-09,Delhi,Cochin,06:50:00,19:45:00,775,1.0,In-flight meal not included,14053
Multiple Carriers,2019-06-03,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No info,13714
Air India,2019-05-27,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No info,10651
Jet Airways,2019-06-12,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,15190
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,11507
Vistara,2019-05-09,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No info,9555
Air Asia,2019-04-21,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No info,4483
Multiple Carriers,2019-06-24,Delhi,Cochin,13:15:00,22:30:00,555,1.0,No info,8018
Air India,2019-05-09,Kolkata,Banglore,10:00:00,20:25:00,625,1.0,No info,10203
Multiple Carriers,2019-06-06,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No info,13377
Jet Airways,2019-06-15,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No info,14714
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,In-flight meal not included,12384
Jet Airways,2019-05-01,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,In-flight meal not included,9663
Air India,2019-05-18,Kolkata,Banglore,16:50:00,05:35:00,765,2.0,No info,11642
Air India,2019-03-01,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No info,10082
Indigo,2019-03-03,Banglore,New Delhi,20:00:00,22:55:00,175,0.0,No info,7303
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,23:25:00,390,1.0,In-flight meal not included,11134
Air Asia,2019-06-03,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No info,4409
Jet Airways,2019-03-06,Delhi,Cochin,09:55:00,18:50:00,535,1.0,No info,17024
Indigo,2019-06-06,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No info,6386
Indigo,2019-03-06,Delhi,Cochin,09:10:00,01:35:00,985,1.0,No info,14871
Air India,2019-04-18,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No info,5228
Air India,2019-03-09,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No info,19681
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,18:15:00,1545,1.0,In-flight meal not included,8529
Indigo,2019-06-15,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No info,4804
Indigo,2019-04-09,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No info,6270
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,19:50:00,1430,1.0,No info,12681
Spicejet,2019-03-21,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No info,4945
Indigo,2019-04-15,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No info,6171
Multiple Carriers,2019-06-27,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No info,13377
Air India,2019-06-09,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No info,11185
Air India,2019-03-06,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No info,16439
Air India,2019-05-24,Kolkata,Banglore,16:50:00,07:55:00,905,1.0,No info,8576
Multiple Carriers,2019-06-01,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No info,9646
Spicejet,2019-06-24,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No info,2017
Jet Airways,2019-05-24,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,6144
Multiple Carriers,2019-05-09,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No info,7787
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,04:45:00,540,1.0,No info,13759
Multiple Carriers,2019-03-09,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No info,13677
Spicejet,2019-05-03,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No info,3597
Air India,2019-05-06,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No info,5228
Air India,2019-04-03,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No info,5117
Indigo,2019-03-21,Banglore,New Delhi,14:25:00,19:25:00,300,1.0,No info,7708
Jet Airways,2019-06-06,Delhi,Cochin,19:15:00,04:25:00,550,1.0,In-flight meal not included,10262
Spicejet,2019-05-24,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,3597
Spicejet,2019-04-09,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No info,3873
Jet Airways,2019-06-24,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5769
Vistara,2019-06-15,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No info,6216
Jet Airways,2019-05-18,Delhi,Cochin,14:00:00,04:25:00,865,1.0,In-flight meal not included,12373
Indigo,2019-06-21,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No info,4077
Air Asia,2019-06-09,Kolkata,Banglore,22:40:00,10:40:00,720,1.0,No info,11323
Jet Airways,2019-03-03,Delhi,Cochin,20:50:00,04:25:00,455,1.0,No info,17234
Jet Airways,2019-05-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,5678
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,8586
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,In-flight meal not included,7064
Indigo,2019-04-18,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No info,4174
Spicejet,2019-05-27,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,2385
Jet Airways,2019-06-01,Delhi,Cochin,19:30:00,04:25:00,535,2.0,No info,13014
Air India,2019-06-12,Kolkata,Banglore,16:50:00,11:10:00,1100,1.0,No info,8366
Air India,2019-06-03,Delhi,Cochin,13:20:00,07:40:00,1100,2.0,No info,11911
Vistara,2019-03-06,Mumbai,Hyderabad,14:40:00,09:25:00,1125,1.0,No info,12395
Air India,2019-06-09,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No info,9968
Air India,2019-05-15,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No info,7480
Jet Airways,2019-06-06,Delhi,Cochin,19:45:00,04:25:00,520,1.0,No info,14714
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,09:00:00,965,1.0,In-flight meal not included,11087
Air Asia,2019-05-01,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No info,4483
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,In-flight meal not included,8586
Jet Airways,2019-05-21,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No info,15129
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No info,14151
Vistara,2019-03-18,Banglore,New Delhi,19:40:00,22:20:00,160,0.0,No info,12123
Spicejet,2019-05-06,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No info,9736
Air India,2019-05-01,Kolkata,Banglore,10:00:00,13:45:00,1665,2.0,No info,15164
Spicejet,2019-05-21,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No info,3873
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,16:20:00,1430,1.0,In-flight meal not included,10844
Vistara,2019-05-12,Kolkata,Banglore,17:00:00,18:50:00,1550,1.0,No info,9135
Jet Airways,2019-06-27,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No info,8016
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,In-flight meal not included,8586
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,No info,11467
Indigo,2019-06-12,Kolkata,Banglore,06:20:00,10:20:00,240,1.0,No info,4226
Spicejet,2019-03-18,Banglore,New Delhi,20:30:00,23:20:00,170,0.0,No info,4377
Air India,2019-05-09,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No info,4667
Indigo,2019-06-27,Delhi,Cochin,08:35:00,22:30:00,835,1.0,No info,6442
Spicejet,2019-04-15,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No info,5583
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,04:25:00,900,2.0,No info,16704
Multiple Carriers,2019-06-15,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No info,13587
Indigo,2019-03-27,Delhi,Cochin,10:45:00,21:00:00,615,1.0,No info,6838
Multiple Carriers,2019-06-09,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No info,13377
Vistara,2019-06-12,Kolkata,Banglore,07:10:00,10:45:00,1655,1.0,No info,8452
Jet Airways,2019-03-27,Mumbai,Hyderabad,02:55:00,04:25:00,90,0.0,In-flight meal not included,1840
Multiple Carriers,2019-05-27,Delhi,Cochin,09:00:00,19:15:00,615,1.0,In-flight meal not included,10197
Indigo,2019-06-03,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No info,5636
Indigo,2019-03-06,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No info,13790
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,16:10:00,435,1.0,In-flight meal not included,7832
Indigo,2019-06-15,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No info,2754
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,In-flight meal not included,11150
Multiple Carriers,2019-05-21,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No info,14067
Indigo,2019-05-18,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No info,3858
Air India,2019-03-24,Kolkata,Banglore,05:40:00,14:35:00,1975,2.0,No info,11522
Spicejet,2019-06-03,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No info,2753
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,19:40:00,1605,1.0,No info,14231
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,10:25:00,1050,1.0,In-flight meal not included,11087
Air India,2019-05-18,Delhi,Cochin,13:20:00,07:40:00,1100,2.0,No info,13801
Air India,2019-05-01,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No info,7480
Indigo,2019-05-18,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No info,4804
Indigo,2019-03-21,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No info,4049
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,10844
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,No info,11467
Air India,2019-03-09,Banglore,New Delhi,10:30:00,11:20:00,1490,1.0,No info,10321
Jet Airways,2019-03-15,Banglore,New Delhi,08:00:00,08:15:00,1455,1.0,In-flight meal not included,10405
Jet Airways,2019-06-01,Delhi,Cochin,20:00:00,04:25:00,505,2.0,No info,16263
Air India,2019-05-18,Delhi,Cochin,10:55:00,19:15:00,500,2.0,No info,13486
Jet Airways,2019-05-09,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No info,7229
Jet Airways,2019-03-03,Delhi,Cochin,05:25:00,18:50:00,2245,2.0,No info,18799
Jet Airways,2019-06-06,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No info,5678
Jet Airways,2019-03-27,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,In-flight meal not included,3205
Jet Airways,2019-06-01,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,In-flight meal not included,10262
Air India,2019-05-24,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No info,12592
Indigo,2019-05-06,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No info,3943
Air India,2019-05-24,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No info,7480
Air India,2019-06-21,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No info,3100
Goair,2019-03-03,Delhi,Cochin,14:10:00,19:20:00,310,1.0,No info,22794
Jet Airways,2019-06-09,Delhi,Cochin,11:45:00,04:25:00,1000,2.0,No info,13882
Indigo,2019-04-12,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No info,4591
Multiple Carriers,2019-06-24,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No info,13797
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No info,14571
Air India,2019-06-03,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No info,7480
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,19:00:00,560,2.0,In-flight meal not included,13029
Air India,2019-06-27,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No info,8669
Jet Airways,2019-03-06,Delhi,Cochin,19:10:00,04:25:00,1995,2.0,No info,20694
Goair,2019-03-24,Kolkata,Banglore,06:35:00,14:25:00,470,1.0,No info,4773
Multiple Carriers,2019-03-06,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No info,15077
Jet Airways,2019-06-06,Delhi,Cochin,20:55:00,04:25:00,450,1.0,No info,14714
Spicejet,2019-04-24,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,3873
Multiple Carriers,2019-06-24,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No info,13377
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,No info,12121
Indigo,2019-03-24,Kolkata,Banglore,08:15:00,13:00:00,285,1.0,No info,6303
Air India,2019-05-12,Kolkata,Banglore,12:00:00,11:10:00,1390,2.0,No info,10676
Indigo,2019-03-09,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No info,7060
Spicejet,2019-03-24,Banglore,New Delhi,05:45:00,08:35:00,170,0.0,No check-in baggage included,3527
Air India,2019-06-12,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No info,13381
Spicejet,2019-06-01,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,2175
Jet Airways,2019-06-01,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No info,14714
Indigo,2019-06-03,Kolkata,Banglore,09:35:00,12:10:00,155,0.0,No info,4804
Spicejet,2019-03-27,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No info,3384
Multiple Carriers,2019-04-27,Delhi,Cochin,07:10:00,16:10:00,540,1.0,In-flight meal not included,6093
Indigo,2019-03-03,Delhi,Cochin,07:35:00,21:20:00,825,2.0,No info,9413
Spicejet,2019-06-27,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,3597
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,In-flight meal not included,10844
Jet Airways,2019-06-12,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No info,8016
Multiple Carriers,2019-03-06,Delhi,Cochin,13:00:00,01:35:00,755,1.0,No info,15603
Indigo,2019-04-09,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No info,3943
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,15:15:00,380,1.0,No info,19225
Air India,2019-05-18,Kolkata,Banglore,16:45:00,21:05:00,1700,1.0,No info,7872
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,7064
Indigo,2019-03-06,Kolkata,Banglore,22:10:00,00:55:00,165,0.0,No info,4778
Indigo,2019-06-03,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No info,7189
Jet Airways,2019-03-18,Banglore,New Delhi,07:00:00,16:10:00,550,1.0,No info,12284
Air India,2019-06-09,Kolkata,Banglore,12:00:00,13:15:00,1515,1.0,No info,7662
Indigo,2019-05-27,Delhi,Cochin,17:05:00,22:15:00,310,1.0,No info,6373
Jet Airways,2019-03-09,Mumbai,Hyderabad,06:30:00,08:00:00,90,0.0,No info,8040
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No info,14781
Air India,2019-06-09,Delhi,Cochin,17:40:00,23:00:00,320,1.0,No info,7384
Goair,2019-04-03,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No info,5135
Multiple Carriers,2019-06-06,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No info,12192
Jet Airways,2019-05-09,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No info,15554
Multiple Carriers,2019-05-27,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No info,7618
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,19:10:00,615,1.0,No info,13555
Jet Airways,2019-04-09,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No info,9483
Multiple Carriers,2019-03-09,Delhi,Cochin,13:15:00,22:20:00,545,1.0,No info,9856
Multiple Carriers,2019-06-24,Delhi,Cochin,14:00:00,01:30:00,690,1.0,No info,13377
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,In-flight meal not included,8529
Multiple Carriers,2019-05-27,Delhi,Cochin,08:45:00,21:00:00,735,1.0,No info,7740
Vistara,2019-04-18,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No info,6741
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,22:05:00,1540,1.0,No info,13067
Indigo,2019-04-01,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No info,3342
Jet Airways,2019-06-01,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,7229
Indigo,2019-05-06,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No info,7191
Indigo,2019-06-06,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No info,6938
Jet Airways,2019-03-15,Banglore,New Delhi,11:40:00,08:15:00,1235,1.0,In-flight meal not included,9134
Jet Airways,2019-04-01,Kolkata,Banglore,20:25:00,15:05:00,1120,1.0,No info,11467
Indigo,2019-06-12,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No info,4049
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,In-flight meal not included,8066
Indigo,2019-05-15,Kolkata,Banglore,18:05:00,23:30:00,325,1.0,No info,6218
